Unnamed: 0,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,81,70,74,68,71,67,80,81,81,84,93
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,79,81,70,74,68,71,67,80,81,81,84,93
Working Capital Days,33,62,62,61,70,64,59,33,30,34,34,38
ROCE %,50%,51%,44%,39%,47%,47%,49%,54%,59%,64%,65%,63%
