Unnamed: 0,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,19369,19109,25223,25067,28593,32369,38802,39949,41965,44338,48908,52094
Cash from Investing Activity +,-1807,-5010,-16895,3104,1645,8968,-7956,-738,548,6091,-2144,-11886
Cash from Financing Activity +,-17168,-9666,-11026,-26885,-27897,-39915,-32634,-33581,-47878,-48536,-47438,-42133
Net Cash Flow,394,4433,-2698,1286,2341,1422,-1788,5630,-5365,1893,-674,-1925
Free Cash Flow,16426,17144,23270,23263,26461,29281,35663,36985,38902,41688,44994,48013
CFO/OP,110%,87%,103%,100%,98%,91%,103%,97%,93%,88%,96%,92%
